iter	Passed	Remaining
0	18	9257
1	41	10357
2	65	10799
3	87	10871
4	110	10948
5	133	10998
6	157	11121
7	181	11175
8	205	11238
9	230	11318
10	253	11268
11	275	11198
12	297	11145
13	320	11110
14	343	11095
15	367	11127
16	391	11114
17	413	11074
18	436	11059
19	459	11027
20	483	11024
21	507	11025
22	530	10997
23	552	10962
24	575	10925
25	597	10897
26	620	10871
27	644	10861
28	667	10838
29	689	10802
30	713	10795
31	740	10829
32	765	10827
33	787	10791
34	811	10778
35	834	10749
36	857	10731
37	880	10708
38	904	10693
39	928	10681
40	951	10654
41	974	10625
42	998	10616
43	1021	10584
44	1044	10560
45	1068	10543
46	1090	10513
47	1115	10504
48	1138	10476
49	1165	10487
50	1193	10508
51	1223	10544
52	1253	10570
53	1280	10578
54	1304	10556
55	1327	10522
56	1350	10497
57	1374	10472
58	1397	10443
59	1420	10419
60	1444	10397
61	1469	10380
62	1495	10372
63	1518	10345
64	1542	10326
65	1564	10287
66	1588	10263
67	1612	10243
68	1634	10209
69	1658	10187
70	1681	10159
71	1703	10125
72	1725	10094
73	1748	10063
74	1771	10039
75	1794	10010
76	1816	9980
77	1839	9953
78	1863	9931
79	1885	9901
80	1908	9870
81	1931	9845
82	1954	9821
83	1977	9793
84	2001	9770
85	2024	9748
86	2047	9721
87	2072	9701
88	2094	9673
89	2116	9642
90	2139	9614
91	2163	9595
92	2186	9569
93	2209	9542
94	2231	9512
95	2254	9488
96	2277	9460
97	2299	9434
98	2322	9405
99	2344	9379
100	2367	9354
101	2391	9331
102	2414	9307
103	2439	9289
104	2462	9262
105	2486	9240
106	2508	9212
107	2531	9187
108	2553	9161
109	2576	9135
110	2598	9106
111	2619	9076
112	2644	9055
113	2666	9029
114	2690	9007
115	2713	8983
116	2737	8960
117	2760	8938
118	2785	8916
119	2807	8891
120	2829	8862
121	2852	8838
122	2875	8813
123	2898	8788
124	2921	8764
125	2944	8741
126	2969	8722
127	2992	8695
128	3014	8670
129	3037	8645
130	3072	8655
131	3094	8628
132	3117	8601
133	3140	8576
134	3162	8550
135	3184	8523
136	3207	8499
137	3232	8478
138	3254	8453
139	3277	8428
140	3301	8404
141	3323	8379
142	3348	8358
143	3371	8335
144	3393	8307
145	3414	8280
146	3437	8255
147	3460	8229
148	3484	8208
149	3511	8192
150	3534	8169
151	3559	8149
152	3582	8124
153	3606	8102
154	3628	8076
155	3651	8051
156	3674	8028
157	3697	8004
158	3721	7981
159	3744	7956
160	3767	7933
161	3790	7908
162	3812	7882
163	3835	7857
164	3857	7832
165	3881	7809
166	3902	7782
167	3925	7758
168	3949	7736
169	3972	7711
170	3994	7686
171	4017	7661
172	4041	7639
173	4065	7616
174	4088	7592
175	4110	7566
176	4132	7541
177	4155	7517
178	4177	7490
179	4198	7464
180	4221	7440
181	4246	7420
182	4268	7394
183	4290	7368
184	4313	7345
185	4335	7319
186	4359	7296
187	4383	7274
188	4406	7250
189	4428	7225
190	4453	7204
191	4476	7181
192	4500	7159
193	4523	7135
194	4546	7110
195	4568	7086
196	4591	7062
197	4614	7038
198	4638	7015
199	4660	6990
200	4684	6967
201	4709	6946
202	4731	6923
203	4756	6901
204	4781	6880
205	4805	6857
206	4827	6833
207	4849	6807
208	4870	6781
209	4894	6758
210	4916	6733
211	4940	6711
212	4964	6688
213	4988	6666
214	5011	6642
215	5034	6618
216	5056	6593
217	5077	6567
218	5100	6544
219	5123	6521
220	5147	6498
221	5171	6476
222	5197	6456
223	5218	6430
224	5242	6407
225	5265	6383
226	5289	6361
227	5313	6339
228	5336	6315
229	5360	6292
230	5384	6270
231	5406	6245
232	5430	6223
233	5455	6202
234	5479	6179
235	5502	6155
236	5531	6138
237	5553	6113
238	5575	6088
239	5598	6064
240	5622	6042
241	5645	6018
242	5668	5995
243	5691	5971
244	5715	5949
245	5739	5926
246	5763	5903
247	5785	5878
248	5808	5855
249	5831	5831
250	5853	5806
251	5875	5782
252	5900	5760
253	5923	5737
254	5949	5716
255	5972	5692
256	5994	5668
257	6016	5643
258	6038	5618
259	6061	5594
260	6086	5573
261	6109	5550
262	6131	5525
263	6154	5502
264	6177	5478
265	6199	5453
266	6221	5429
267	6244	5405
268	6268	5382
269	6291	5359
270	6314	5335
271	6336	5311
272	6358	5287
273	6381	5263
274	6404	5240
275	6427	5216
276	6451	5193
277	6474	5170
278	6496	5146
279	6520	5123
280	6542	5098
281	6564	5074
282	6586	5050
283	6610	5027
284	6635	5005
285	6657	4981
286	6680	4958
287	6703	4934
288	6727	4911
289	6749	4887
290	6772	4864
291	6795	4840
292	6817	4816
293	6839	4792
294	6862	4768
295	6885	4745
296	6908	4721
297	6930	4697
298	6953	4674
299	6975	4650
300	6998	4626
301	7022	4604
302	7044	4580
303	7066	4555
304	7089	4532
305	7113	4510
306	7136	4486
307	7158	4462
308	7182	4439
309	7205	4416
310	7228	4392
311	7252	4370
312	7275	4346
313	7298	4323
314	7321	4299
315	7343	4276
316	7366	4252
317	7388	4228
318	7409	4204
319	7433	4181
320	7456	4157
321	7480	4135
322	7503	4111
323	7526	4088
324	7553	4067
325	7576	4043
326	7598	4020
327	7621	3996
328	7645	3974
329	7669	3950
330	7692	3927
331	7715	3904
332	7739	3881
333	7762	3858
334	7786	3835
335	7808	3811
336	7841	3792
337	7863	3768
338	7886	3745
339	7909	3721
340	7935	3700
341	7960	3677
342	7983	3654
343	8005	3630
344	8028	3607
345	8051	3583
346	8074	3560
347	8097	3536
348	8120	3513
349	8143	3490
350	8167	3467
351	8191	3443
352	8213	3420
353	8236	3396
354	8260	3374
355	8283	3350
356	8306	3327
357	8329	3303
358	8352	3280
359	8376	3257
360	8399	3234
361	8422	3210
362	8443	3186
363	8467	3163
364	8491	3140
365	8512	3116
366	8535	3093
367	8557	3069
368	8580	3046
369	8603	3022
370	8626	2999
371	8649	2976
372	8670	2952
373	8692	2928
374	8715	2905
375	8738	2881
376	8762	2858
377	8786	2835
378	8809	2812
379	8832	2789
380	8855	2765
381	8876	2742
382	8900	2718
383	8923	2695
384	8947	2672
385	8969	2648
386	8990	2625
387	9014	2601
388	9036	2578
389	9062	2556
390	9084	2532
391	9108	2509
392	9131	2486
393	9154	2462
394	9178	2439
395	9200	2416
396	9224	2393
397	9248	2370
398	9286	2350
399	9317	2329
400	9352	2308
401	9375	2285
402	9398	2262
403	9422	2239
404	9445	2215
405	9468	2192
406	9490	2168
407	9512	2144
408	9534	2121
409	9560	2098
410	9583	2075
411	9606	2051
412	9629	2028
413	9653	2005
414	9677	1982
415	9699	1958
416	9724	1935
417	9747	1912
418	9771	1889
419	9795	1865
420	9820	1842
421	9844	1819
422	9867	1796
423	9889	1772
424	9911	1749
425	9933	1725
426	9955	1702
427	9979	1678
428	10001	1655
429	10024	1631
430	10047	1608
431	10068	1584
432	10090	1561
433	10112	1537
434	10135	1514
435	10175	1493
436	10196	1469
437	10219	1446
438	10241	1423
439	10264	1399
440	10287	1376
441	10310	1352
442	10332	1329
443	10354	1306
444	10379	1282
445	10403	1259
446	10426	1236
447	10449	1212
448	10471	1189
449	10493	1165
450	10520	1142
451	10542	1119
452	10565	1096
453	10589	1072
454	10612	1049
455	10636	1026
456	10659	1002
457	10681	979
458	10705	956
459	10727	932
460	10751	909
461	10773	886
462	10797	862
463	10820	839
464	10842	816
465	10864	792
466	10886	769
467	10909	745
468	10933	722
469	10955	699
470	10977	675
471	11000	652
472	11024	629
473	11046	605
474	11068	582
475	11091	559
476	11115	535
477	11138	512
478	11161	489
479	11185	466
480	11210	442
481	11233	419
482	11258	396
483	11280	372
484	11302	349
485	11323	326
486	11345	302
487	11369	279
488	11391	256
489	11416	232
490	11439	209
491	11463	186
492	11485	163
493	11508	139
494	11533	116
495	11557	93
496	11583	69
497	11605	46
498	11627	23
499	11650	0
